reviewer_initials,paperid,version,link
tac,neave2021,v0.1,https://docs.google.com/spreadsheets/d/1wSzD3vzcam_RS9KnAcjemx5q12QMGcMYU2s-Tz1pbyI
tac,peschko2021,v0.1,https://docs.google.com/spreadsheets/d/1wSzD3vzcam_RS9KnAcjemx5q12QMGcMYU2s-Tz1pbyI
tac,hart2020b,v0.1,https://docs.google.com/spreadsheets/d/1wSzD3vzcam_RS9KnAcjemx5q12QMGcMYU2s-Tz1pbyI
tac,goncalves2021,v0.1,https://docs.google.com/spreadsheets/d/1wSzD3vzcam_RS9KnAcjemx5q12QMGcMYU2s-Tz1pbyI
tac,johnson2016a,v0.1,https://docs.google.com/spreadsheets/d/1wSzD3vzcam_RS9KnAcjemx5q12QMGcMYU2s-Tz1pbyI
tac,cleasby2015,v0.1,https://docs.google.com/spreadsheets/d/1wSzD3vzcam_RS9KnAcjemx5q12QMGcMYU2s-Tz1pbyI
tac,farthing2020,v0.1,https://docs.google.com/spreadsheets/d/1wSzD3vzcam_RS9KnAcjemx5q12QMGcMYU2s-Tz1pbyI
tac,harrington2020,v0.1,https://docs.google.com/spreadsheets/d/1wSzD3vzcam_RS9KnAcjemx5q12QMGcMYU2s-Tz1pbyI
arp,walton2021a,v0.1,https://docs.google.com/spreadsheets/d/1QQ1pBLUpdMqe_lp6J1eTIRFFz9iVtj0L
arp,delarosa2019,v0.1,https://docs.google.com/spreadsheets/d/1QQ1pBLUpdMqe_lp6J1eTIRFFz9iVtj0L
arp,russell2012,v0.1,https://docs.google.com/spreadsheets/d/1QQ1pBLUpdMqe_lp6J1eTIRFFz9iVtj0L
arp,brewster2021,v0.1,https://docs.google.com/spreadsheets/d/1QQ1pBLUpdMqe_lp6J1eTIRFFz9iVtj0L
arp,hampton2021,v0.1,https://docs.google.com/spreadsheets/d/1QQ1pBLUpdMqe_lp6J1eTIRFFz9iVtj0L
arp,clark2010,v0.1,https://docs.google.com/spreadsheets/d/1QQ1pBLUpdMqe_lp6J1eTIRFFz9iVtj0L
arp,albertsen2019,v0.1,https://docs.google.com/spreadsheets/d/1QQ1pBLUpdMqe_lp6J1eTIRFFz9iVtj0L
arp,tavares2023,v0.1,https://docs.google.com/spreadsheets/d/1QQ1pBLUpdMqe_lp6J1eTIRFFz9iVtj0L
arp,vanderkolk2022b,v0.1,https://docs.google.com/spreadsheets/d/1QQ1pBLUpdMqe_lp6J1eTIRFFz9iVtj0L
arp,stewart2013,v0.1,https://docs.google.com/spreadsheets/d/1QQ1pBLUpdMqe_lp6J1eTIRFFz9iVtj0L
arp,alvarenga2016a,v0.1,https://docs.google.com/spreadsheets/d/1QQ1pBLUpdMqe_lp6J1eTIRFFz9iVtj0L
arp,stafford2018,v0.1,https://docs.google.com/spreadsheets/d/1QQ1pBLUpdMqe_lp6J1eTIRFFz9iVtj0L
arp,nowacek2016,v0.1,https://docs.google.com/spreadsheets/d/1QQ1pBLUpdMqe_lp6J1eTIRFFz9iVtj0L
arp,balmer2018,v0.1,https://docs.google.com/spreadsheets/d/1QQ1pBLUpdMqe_lp6J1eTIRFFz9iVtj0L
arp,cones2022,v0.1,https://docs.google.com/spreadsheets/d/1QQ1pBLUpdMqe_lp6J1eTIRFFz9iVtj0L
arp,shearer2019,v0.1,https://docs.google.com/spreadsheets/d/1QQ1pBLUpdMqe_lp6J1eTIRFFz9iVtj0L
arp,sheppard2010,v0.1,https://docs.google.com/spreadsheets/d/1QQ1pBLUpdMqe_lp6J1eTIRFFz9iVtj0L
arp,mott2015,v0.1,https://docs.google.com/spreadsheets/d/1QQ1pBLUpdMqe_lp6J1eTIRFFz9iVtj0L
arp,wolfson2020,v0.1,https://docs.google.com/spreadsheets/d/1QQ1pBLUpdMqe_lp6J1eTIRFFz9iVtj0L
arp,graesli2020a,v0.1,https://docs.google.com/spreadsheets/d/1QQ1pBLUpdMqe_lp6J1eTIRFFz9iVtj0L
